"","file_stem","X","articles","url","volume","issue","page","p_values_reported","p_values_reported_less_05","volume_factor"
"100","1_6_641",84,"jneuro;1/6/641","1/6/641",1,6,641,11,4,"1"
"101","1_6_650",85,"jneuro;1/6/650","1/6/650",1,6,650,0,0,"1"
"102","1_6_658",86,"jneuro;1/6/658","1/6/658",1,6,658,6,6,"1"
"103","1_6_674",87,"jneuro;1/6/674","1/6/674",1,6,674,8,5,"1"
"104","1_7_679",63,"jneuro;1/7/679","1/7/679",1,7,679,2,1,"1"
"105","1_7_685",64,"jneuro;1/7/685","1/7/685",1,7,685,6,3,"1"
"106","1_7_691",65,"jneuro;1/7/691","1/7/691",1,7,691,0,0,"1"
"107","1_7_696",66,"jneuro;1/7/696","1/7/696",1,7,696,0,0,"1"
"108","1_7_703",67,"jneuro;1/7/703","1/7/703",1,7,703,0,0,"1"
"109","1_7_710",68,"jneuro;1/7/710","1/7/710",1,7,710,0,0,"1"
"110","1_7_721",69,"jneuro;1/7/721","1/7/721",1,7,721,0,0,"1"
"111","1_7_736",70,"jneuro;1/7/736","1/7/736",1,7,736,0,0,"1"
"112","1_7_741",71,"jneuro;1/7/741","1/7/741",1,7,741,0,0,"1"
"113","1_7_760",72,"jneuro;1/7/760","1/7/760",1,7,760,7,4,"1"
"114","1_7_771",73,"jneuro;1/7/771","1/7/771",1,7,771,0,0,"1"
"115","1_7_777",74,"jneuro;1/7/777","1/7/777",1,7,777,0,0,"1"
"116","1_7_784",75,"jneuro;1/7/784","1/7/784",1,7,784,0,0,"1"
"117","1_8_793",49,"jneuro;1/8/793","1/8/793",1,8,793,0,0,"1"
"118","1_8_812",50,"jneuro;1/8/812","1/8/812",1,8,812,0,0,"1"
"119","1_8_827",51,"jneuro;1/8/827","1/8/827",1,8,827,0,0,"1"
"120","1_8_835",52,"jneuro;1/8/835","1/8/835",1,8,835,0,0,"1"
"121","1_8_840",53,"jneuro;1/8/840","1/8/840",1,8,840,0,0,"1"
"122","1_8_846",54,"jneuro;1/8/846","1/8/846",1,8,846,0,0,"1"
"123","1_8_849",55,"jneuro;1/8/849","1/8/849",1,8,849,0,0,"1"
"124","1_8_862",56,"jneuro;1/8/862","1/8/862",1,8,862,0,0,"1"
"125","1_8_876",57,"jneuro;1/8/876","1/8/876",1,8,876,10,7,"1"
"126","1_8_887",58,"jneuro;1/8/887","1/8/887",1,8,887,31,17,"1"
"127","1_8_901",59,"jneuro;1/8/901","1/8/901",1,8,901,0,0,"1"
"128","1_8_908",60,"jneuro;1/8/908","1/8/908",1,8,908,2,2,"1"
"129","1_8_918",61,"jneuro;1/8/918","1/8/918",1,8,918,0,0,"1"
"130","1_8_923",62,"jneuro;1/8/923","1/8/923",1,8,923,0,0,"1"
"131","1_9_1003",43,"jneuro;1/9/1003","1/9/1003",1,9,1003,0,0,"1"
"132","1_9_1008",44,"jneuro;1/9/1008","1/9/1008",1,9,1008,13,13,"1"
"133","1_9_1022",45,"jneuro;1/9/1022","1/9/1022",1,9,1022,0,0,"1"
"134","1_9_1036",46,"jneuro;1/9/1036","1/9/1036",1,9,1036,0,0,"1"
"135","1_9_1043",47,"jneuro;1/9/1043","1/9/1043",1,9,1043,2,1,"1"
"136","1_9_1052",48,"jneuro;1/9/1052","1/9/1052",1,9,1052,19,14,"1"
"137","1_9_929",37,"jneuro;1/9/929","1/9/929",1,9,929,0,0,"1"
"138","1_9_936",38,"jneuro;1/9/936","1/9/936",1,9,936,11,9,"1"
"139","1_9_945",39,"jneuro;1/9/945","1/9/945",1,9,945,0,0,"1"
"140","1_9_956",40,"jneuro;1/9/956","1/9/956",1,9,956,0,0,"1"
"141","1_9_981",41,"jneuro;1/9/981","1/9/981",1,9,981,0,0,"1"
"142","1_9_993",42,"jneuro;1/9/993","1/9/993",1,9,993,0,0,"1"
"143","40_1_107",812,"jneuro;40/1/107","40/1/107",40,1,107,133,37,"40"
"144","40_1_131",813,"jneuro;40/1/131","40/1/131",40,1,131,31,10,"40"
"145","40_1_143",814,"jneuro;40/1/143","40/1/143",40,1,143,44,31,"40"
"146","40_1_159",815,"jneuro;40/1/159","40/1/159",40,1,159,17,6,"40"
"147","40_1_171",816,"jneuro;40/1/171","40/1/171",40,1,171,29,13,"40"
"148","40_1_191",817,"jneuro;40/1/191","40/1/191",40,1,191,39,14,"40"
"149","40_1_203",818,"jneuro;40/1/203","40/1/203",40,1,203,31,17,"40"
"150","40_1_220",819,"jneuro;40/1/220","40/1/220",40,1,220,97,86,"40"
"151","40_1_237",820,"jneuro;40/1/237","40/1/237",40,1,237,69,50,"40"
"152","40_10_2000",678,"jneuro;40/10/2000","40/10/2000",40,10,2000,37,32,"40"
"153","40_10_2015",679,"jneuro;40/10/2015","40/10/2015",40,10,2015,26,9,"40"
"154","40_10_2025",680,"jneuro;40/10/2025","40/10/2025",40,10,2025,50,32,"40"
"155","40_10_2038",681,"jneuro;40/10/2038","40/10/2038",40,10,2038,25,8,"40"
"156","40_10_2047",682,"jneuro;40/10/2047","40/10/2047",40,10,2047,28,21,"40"
"157","40_10_2056",683,"jneuro;40/10/2056","40/10/2056",40,10,2056,2,2,"40"
"158","40_10_2069",684,"jneuro;40/10/2069","40/10/2069",40,10,2069,98,50,"40"
"159","40_10_2080",685,"jneuro;40/10/2080","40/10/2080",40,10,2080,10,1,"40"
"160","40_10_2094",686,"jneuro;40/10/2094","40/10/2094",40,10,2094,53,46,"40"
"161","40_10_2108",687,"jneuro;40/10/2108","40/10/2108",40,10,2108,14,7,"40"
"162","40_10_2119",688,"jneuro;40/10/2119","40/10/2119",40,10,2119,26,14,"40"
"163","40_10_2129",689,"jneuro;40/10/2129","40/10/2129",40,10,2129,21,7,"40"
"164","40_10_2139",690,"jneuro;40/10/2139","40/10/2139",40,10,2139,229,96,"40"
"165","40_10_2154",691,"jneuro;40/10/2154","40/10/2154",40,10,2154,44,33,"40"
"166","40_10_2166",692,"jneuro;40/10/2166","40/10/2166",40,10,2166,21,10,"40"
"167","40_11_2189",663,"jneuro;40/11/2189","40/11/2189",40,11,2189,10,6,"40"
"168","40_11_2200",664,"jneuro;40/11/2200","40/11/2200",40,11,2200,48,29,"40"
"169","40_11_2215",665,"jneuro;40/11/2215","40/11/2215",40,11,2215,39,12,"40"
"170","40_11_2228",666,"jneuro;40/11/2228","40/11/2228",40,11,2228,73,49,"40"
"171","40_11_2246",667,"jneuro;40/11/2246","40/11/2246",40,11,2246,65,24,"40"
"172","40_11_2259",668,"jneuro;40/11/2259","40/11/2259",40,11,2259,70,37,"40"
"173","40_11_2269",669,"jneuro;40/11/2269","40/11/2269",40,11,2269,33,16,"40"
"174","40_11_2282",670,"jneuro;40/11/2282","40/11/2282",40,11,2282,52,24,"40"
"175","40_11_2296",671,"jneuro;40/11/2296","40/11/2296",40,11,2296,54,28,"40"
"176","40_11_2305",672,"jneuro;40/11/2305","40/11/2305",40,11,2305,11,6,"40"
"177","40_11_2314",673,"jneuro;40/11/2314","40/11/2314",40,11,2314,65,45,"40"
"178","40_11_2332",674,"jneuro;40/11/2332","40/11/2332",40,11,2332,30,13,"40"
"179","40_11_2343",675,"jneuro;40/11/2343","40/11/2343",40,11,2343,29,20,"40"
"180","40_11_2357",676,"jneuro;40/11/2357","40/11/2357",40,11,2357,258,245,"40"
"181","40_11_2371",677,"jneuro;40/11/2371","40/11/2371",40,11,2371,29,22,"40"
"182","40_12_2390",648,"jneuro;40/12/2390","40/12/2390",40,12,2390,3,1,"40"
"183","40_12_2403",649,"jneuro;40/12/2403","40/12/2403",40,12,2403,50,31,"40"
"184","40_12_2416",650,"jneuro;40/12/2416","40/12/2416",40,12,2416,33,6,"40"
"185","40_12_2430",651,"jneuro;40/12/2430","40/12/2430",40,12,2430,8,1,"40"
"186","40_12_2445",652,"jneuro;40/12/2445","40/12/2445",40,12,2445,106,66,"40"
"187","40_12_2458",653,"jneuro;40/12/2458","40/12/2458",40,12,2458,37,23,"40"
"188","40_12_2471",654,"jneuro;40/12/2471","40/12/2471",40,12,2471,54,34,"40"
"189","40_12_2485",655,"jneuro;40/12/2485","40/12/2485",40,12,2485,66,36,"40"
"190","40_12_2498",656,"jneuro;40/12/2498","40/12/2498",40,12,2498,17,10,"40"
"191","40_12_2510",657,"jneuro;40/12/2510","40/12/2510",40,12,2510,27,22,"40"
"192","40_12_2519",658,"jneuro;40/12/2519","40/12/2519",40,12,2519,107,76,"40"
"193","40_12_2538",659,"jneuro;40/12/2538","40/12/2538",40,12,2538,9,8,"40"
"194","40_12_2553",660,"jneuro;40/12/2553","40/12/2553",40,12,2553,11,6,"40"
"195","40_12_2562",661,"jneuro;40/12/2562","40/12/2562",40,12,2562,25,13,"40"
"196","40_12_2573",662,"jneuro;40/12/2573","40/12/2573",40,12,2573,65,51,"40"
